,x,y,OSM_id,OSM_name,OSM_voltage,OSM_operator,OSM_NUTS1,comment,comment 2
Goldshoefe,10.1173984587,48.8971377881,42050342,Umspannwerk Goldshöfe,380000;220000;110000,Transnet BW GmbH,baden-wuerttemberg,,
Y-Oberjettingen,8.785153772,48.5836217466,26814283,Umspannwerk Oberjettingen,380000;110000,Netze BW GmbH;TransnetBW GmbH,baden-wuerttemberg,,
Voehringen,10.082157402,48.2660901729,85523877,Vöhringen Amprion,380000,Amprion,bayern,,
Philippsburg,8.4409458339,49.2502202677,48057110,Philippsburg,380000,Transnet BW GmbH,baden-wuerttemberg,,
Wendlingen,9.4005818333,48.6669673874,26260052,Umspannwerk Wendlingen,380000;220000;110000,TransnetBW GmbH,baden-wuerttemberg,,
Wiesloch,8.6737173596,49.2904394068,46584363,Umspannwerk Wiesloch,380000;220000;110000,EnBW,baden-wuerttemberg,,
GKMB,8.5018085814,49.4449115469,163093653,GKMB,220000;110000,,baden-wuerttemberg,,Duplicated OSM name: 163093653 163093653
Heidelberg,8.6637851962,49.3600842611,156676050,Heidelberg-Süd,220000;110000,Stadtwerke Heidelberg Netze GmbH,baden-wuerttemberg,No 100% match: But correct,
Dellmensingen,9.8855088715,48.3040696725,41389594,Dellmensingen,380000;220000;110000,Netze BW GmbH;TransnetBW GmbH,baden-wuerttemberg,,
Bruchsal/Kaendelweg,8.5621436338,49.1329303973,254326606,Umspannwerk Bruchsal-Kändelweg,380000;110000,Netze BW GmbH;TransnetBW GmbH,baden-wuerttemberg,,
Eichstetten,7.7518625524,48.0964057488,87653464,220-kV-Umspannwerk Eichstetten,220000;110000,EnBW,baden-wuerttemberg,Multiple matches: First choice accepted (220 kV),
Heilbronn,9.2088338635,49.1742319593,1038821599,Heilbronn,380000,Transnet BW GmbH,baden-wuerttemberg,,
Y-Hueffenhardt,9.0918353326,49.2946188318,143903369,Umspannwerk Hüffenhardt,380000;220000;110000,,baden-wuerttemberg,,
Y-Hoheneck,9.1907926775,48.914415087,25802269,Amprion Umspannwerk Hoheneck,380000;220000;110000,Amprion GmbH,baden-wuerttemberg,,
Y-Buehl,8.120596018,48.7053687516,39011884,Umspannwerk Bühl,220000;110000,TransnetBW GmbH,baden-wuerttemberg,,
GKN2,9.1773111604,49.0393782259,153328698,Gemeinschaftskraftwerk Neckarwestheim 2 (GKN2),380000,,baden-wuerttemberg,No 100% match: Because core-tso uses only acronym. Corrected.,Duplicated OSM name: 163093653 163093653
Altbach,9.3709192803,48.7191280063,37721677,Umspannwerk Altbach 1,380000;110000,Netze BW,baden-wuerttemberg,No 100% match: But correct,
Karlsruhe,8.4516163672,49.0073965256,32725958,Umspannwerk Karlsruhe Ost,220000;110000,TransnetBW GmbH,baden-wuerttemberg,No 100% match: Because core-tso misses specification. But correct as Karlsruhe Ost,
Y-Altlussheim,8.5120992819,49.2940001929,154729020,Umspannwerk Altlußheim,220000;110000,TransnetBW GmbH;Netze BW GmbH,baden-wuerttemberg,,
Y-Daxlanden,8.3133402254,49.0090434727,152261133,Karlsruhe-Daxlanden,380000;220000;110000,EnBW,baden-wuerttemberg,No 100% match: But correct,
RDK7,8.3044623169,49.0115442273,272646943,RDK7,380000,EnBW AG,baden-wuerttemberg,,
Oberwald,8.4455379867,48.9860892729,32725957,Umspannwerk Oberwald,220000;110000,TransnetBW GmbH;Netze BW GmbH,baden-wuerttemberg,,
Pulverdingen,9.0454354508,48.9029609971,43688805,Umspannwerk Pulverdingen,380000;220000;110000,Transnet BW GmbH,baden-wuerttemberg,,
Birkenfeld,8.6416279108,48.8900708972,32966636,220 kV-Umspannwerk Birkenfeld,220000;110000,EnBW,baden-wuerttemberg,,
Kuppenheim,8.2487290798,48.8463165597,32151621,220-kV-Umspannwerk Kuppenheim,220000;110000,,baden-wuerttemberg,,
Engstlatt,8.8728791131,48.3100872039,42736239,Umspannwerk Engstlatt,380000,Netze BW GmbH;TransnetBW GmbH,baden-wuerttemberg,,
Y-Herbertingen,9.4253440768,48.0644397251,25306752,Umspannwerk Herbertingen,380000;220000;110000,EnBW,baden-wuerttemberg,,
RDK8,8.3062402,49.0125819,809941086,RDK8,380000,EnBW Energie Baden-Württemberg AG,baden-wuerttemberg,,
Altlussheim,8.5120992819,49.2940001929,154729020,Umspannwerk Altlußheim,220000;110000,TransnetBW GmbH;Netze BW GmbH,baden-wuerttemberg,,
Weier,7.9107293522,48.5012883452,146962222,Umspannwerk Weier,220000;110000,EnBW,baden-wuerttemberg,,
Stockach,9.0127445494,47.8446418888,31367936,Stockach 220kV,220000,Transnet BW GmbH,baden-wuerttemberg,,
Y-Dellmensingen,9.8855088715,48.3040696725,41389594,Dellmensingen,380000;220000;110000,Netze BW GmbH;TransnetBW GmbH,baden-wuerttemberg,,
Daxlanden,8.3133402254,49.0090434727,152261133,Karlsruhe-Daxlanden,380000;220000;110000,EnBW,baden-wuerttemberg,No 100% match: But correct,
Kuehmoos,7.9580759143,47.5954779452,88916034,Lastverteilung/Schaltanlage Kühmoos,380000;220000,Schluchseewerk AG,baden-wuerttemberg,,
Beuren,8.8615257976,47.8064353547,102743264,Beuren,220000;110000,,baden-wuerttemberg,,
Grafenrheinfeld,10.1878834527,49.9812264739,108797675,Grafenrheinfeld,380000,,bayern,,
Villingen,8.4654298386,48.0435236509,42049947,Umspannwerk Villingen,380000;110000,EnBW; Energiedienst,baden-wuerttemberg,,
Hoheneck,9.1907926775,48.914415087,25802269,Amprion Umspannwerk Hoheneck,380000;220000;110000,Amprion GmbH,baden-wuerttemberg,,
Weingarten,8.3084554204,49.2571048942,259561755,Weingarten,380000,,rheinland-pfalz,,
Laichingen,9.7042189182,48.464975661,26404600,Umspannwerk Laichingen,380000;110000,Netze BW GmbH,baden-wuerttemberg,,
Rotensohl,10.2224358121,48.7367219985,38325076,Umspannwerk Rotensohl,380000;110000,EnBW,baden-wuerttemberg,,
Hoepfingen,9.4469187479,49.5902629531,145002769,Umspannwerk Höpfingen,380000;110000,EnBW,baden-wuerttemberg,,
Kupferzell,9.6946510584,49.2325845475,143854536,Umspannwerk Kupferzell,380000;110000,Transnet BW GmbH,baden-wuerttemberg,,
Y-Bruchsal/Kaendelweg,8.5621436338,49.1329303973,254326606,Umspannwerk Bruchsal-Kändelweg,380000;110000,Netze BW GmbH;TransnetBW GmbH,baden-wuerttemberg,,
Neurott,8.6232062274,49.3565818529,207248812,Neurott,380000;220000,TransnetBW GmbH,baden-wuerttemberg,,
Stalldorf,9.9444796928,49.5783378704,31653753,Umspannwerk Stalldorf,380000;110000,,bayern,,
Grossgartach,9.1515749008,49.1436221178,25557397,Umspannwerk Großgartach,380000;220000;110000,TransnetBW GmbH,baden-wuerttemberg,,
Trossingen,8.6166466657,48.0659763726,35954395,Umspannwerk Trossingen,380000;110000,TransnetBW GmbH,baden-wuerttemberg,,
Weinheim,8.6269714521,49.5436011167,160929097,Umspannwerk Weinheim,220000;110000,,baden-wuerttemberg,,
Obermooweiler,9.8013172023,47.6525043611,31131320,Obermooweiler,380000,Transnet BW,baden-wuerttemberg,,Duplicated OSM name: 31131320 31131320
KarlsruheWest,8.3491261492,49.013052156,32731290,Karlsruhe-West,220000;110000,Stadtwerke Karlsruhe GmbH,baden-wuerttemberg,No 100% match: But correct,
Buehl,8.120596018,48.7053687516,39011884,Umspannwerk Bühl,220000;110000,TransnetBW GmbH,baden-wuerttemberg,,
Maximiliansau,8.273277878,49.0293946651,276249131,Umspannwerk Maximiliansau,220000;110000,Pfalzwerke AG;Amprion GmbH,rheinland-pfalz,,
Oberjettingen,8.785153772,48.5836217466,26814283,Umspannwerk Oberjettingen,380000;110000,Netze BW GmbH;TransnetBW GmbH,baden-wuerttemberg,,
Hueffenhardt,9.0918353326,49.2946188318,143903369,Umspannwerk Hüffenhardt,380000;220000;110000,,baden-wuerttemberg,,
Herbertingen,9.4253440768,48.0644397251,25306752,Umspannwerk Herbertingen,380000;220000;110000,EnBW,baden-wuerttemberg,,
Y-Gurtweil,8.251925544,47.6397698265,31367937,Umspannwerk Gurtweil,220000;110000,TransnetBW,baden-wuerttemberg,,
Metzingen,9.2743138101,48.5498629827,30734324,Umspannwerk Metzingen,380000;110000,Netze BW GmbH;TransnetBW GmbH,baden-wuerttemberg,,
Niederstotzingen,10.2316855967,48.529852103,31105067,Umspannwerk Niederstotzingen,380000;110000,EnBW,baden-wuerttemberg,,
Y-Endersbach,9.3775887576,48.8126049658,48428875,Umspannwerk Endersbach,380000;110000,Netze BW GmbH;TransnetBW GmbH,baden-wuerttemberg,,
Endersbach,9.3775887576,48.8126049658,48428875,Umspannwerk Endersbach,380000;110000,Netze BW GmbH;TransnetBW GmbH,baden-wuerttemberg,,
Y-Engstlatt,8.8728791131,48.3100872039,42736239,Umspannwerk Engstlatt,380000,Netze BW GmbH;TransnetBW GmbH,baden-wuerttemberg,,
Gruenkraut,9.6453410691,47.7445974931,31131325,380kV-Umspannwerk Grünkraut,380000;110000,,baden-wuerttemberg,,
Marbach,9.2362839912,48.9268532261,97825259,Umspannwerk Marbach,220000;110000,Netze BW GmbH;TransnetBW GmbH,baden-wuerttemberg,,
Grossgartach ,9.1515749008,49.1436221178,25557397,Umspannwerk Großgartach,380000;220000;110000,TransnetBW GmbH,baden-wuerttemberg,No 100% match: But correct,
Buenzwangen,9.5628235064,48.7014898612,26403575,Netze BW Umspannwerk Bünzwangen,380000;110000,Netze BW,baden-wuerttemberg,No 100% match: But correct,
Gurtweil,8.251925544,47.6397698265,31367937,Umspannwerk Gurtweil,220000;110000,TransnetBW,baden-wuerttemberg,,
Schwoerstadt,7.8429019528,47.5858515193,88901626,Schwörstadt,380000;110000,,baden-wuerttemberg,,
Y-Bruchsal,8.5621436338,49.1329303973,254326606,Umspannwerk Bruchsal-Kändelweg,380000;110000,Netze BW GmbH;TransnetBW GmbH,baden-wuerttemberg,No 100% match: Added name in OSM: Bruchsal-Kändelweg. Changed to the second choice.,
Muehlhausen,9.2156501993,48.8523053553,22960899,Umspannwerk Mühlhausen,380000;110000,Netze BW,baden-wuerttemberg,,
Buers,9.810985,47.142966,101997887,Umspannwerk Bürs,380000;220000,Vorarlberger Illwerke AG,,No 100% match: Because in Austria. Added manually,
